Patron_1;Patron_2;Patron_3;Patron_4;CurrentPlayerPrestige;CurrentPlayerDeck_PrestigeStrength;CurrentPlayerDeck_PowerStrength;CurrentPlayerDeck_GoldStrength;CurrentPlayerDeck_MiscStrength;CurrentPlayerDeckComboProportion;CurrentPlayerAgent_PowerStrength;CurrentPlayerAgent_GoldStrength;CurrentPlayerAgent_MiscStrength;CurrentPlayerPatronFavour;OpponentPrestige;OpponentDeck_PrestigeStrength;OpponentDeck_PowerStrength;OpponentDeck_GoldStrength;OpponentDeck_MiscStrength;OpponentAgent_PowerStrength;OpponentAgent_GoldStrength;OpponentAgent_MiscStrength;OpponentPatronFavour;WinProbability
0;1;4;6;8;0;0.5625;1.2291666666666667;0;0.4166666666666667;0;0;0;0;5;0;0.19444444444444445;1.3055555555555556;0.1111111111111111;0;0;0;1;0
0;1;4;6;8;0;0.5192307692307693;1.2115384615384615;0.11538461538461539;0.46153846153846156;0;0;0;0;8;0;0.4444444444444444;1.5555555555555556;0.08333333333333333;0;0;0;1;0
0;1;4;6;13;0;0.48214285714285715;1.125;0.17857142857142858;0.5;0;0;0;1;12;0;0.175;1.275;0.1;0;0;0;0;0
0;1;4;6;22;0;0.48214285714285715;1.125;0.17857142857142858;0.5;0;0;0;2;21;0;0.475;1.175;0.175;0;0;0;1;0
0;1;4;6;31;0;0.48214285714285715;1.125;0.17857142857142858;0.5;0;0;1.3;1;27;0;0.3;1.5;0.175;0;0;0;0;0
0;1;4;6;43;0;0.48214285714285715;1.125;0.17857142857142858;0.5;0;0;0;1;32;0;0.375;1.475;0.075;0;1.3;0;0;0
0;1;4;6;50;0;0.48214285714285715;1.125;0.17857142857142858;0.5;0;0;0;1;47;0;0.475;1.275;0.075;0;1.3;0;0;0
0;1;4;6;65;0;0.48214285714285715;1.125;0.17857142857142858;0.5;0;0;0;1;57;0;0.1;1.4;0.1;0;1.3;0;0;0
0;1;4;6;65;0;0.45;1.05;0.23333333333333334;0.5333333333333333;0;0;1.3;1;77;0;0.475;1.175;0.175;0;1.2;0;1;0
0;1;2;5;1;0;0.2727272727272727;1.0909090909090908;0;0.45454545454545453;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;1;2;5;1;0;0.2727272727272727;1.0909090909090908;0;0.45454545454545453;0;0;0;0;0;0;0;1;0;0;0;0;0;1
0;1;2;5;1;0;0.25;1.0833333333333333;0;0.5;0;0;0;0;0;0;0.125;1.2916666666666667;0;0;0;0;0;1
0;1;2;5;2;0;0.25;1.1666666666666667;0;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;1
0;1;2;5;2;0;0.23076923076923078;1.3846153846153846;0;0.5384615384615384;0;0;0;1;0;0;0.10714285714285714;1.1071428571428572;0;0;0;0;0;1
0;1;2;5;4;0;0.23076923076923078;1.3846153846153846;0;0.5384615384615384;0;0;0;1;2;0;0;1.4285714285714286;0;0;0;0;0;1
0;1;2;5;4;0;0.21428571428571427;1.3571428571428572;0.10714285714285714;0.5714285714285714;0;0;0;0;2;0;0;1.3333333333333333;0.1111111111111111;0;0;0;1;1
0;1;2;5;5;0;0.2;1.4;0.1;0.6;0;0;0;1;2;0;0;1.3;0.1;0;0;0;0;1
0;1;2;5;9;0;0.35;1.55;0;0.6;0;0;0;2;3;0;0.0625;1.2291666666666667;0.08333333333333333;0;0;0;1;1
0;1;2;5;13;0;0.328125;1.453125;0;0.625;0;2.4;0;2;5;0;0;1.2307692307692308;0;0;0;0;1;1
0;1;2;5;20;0;0.328125;1.328125;0.0625;0.625;0;0;0;1;8;0;0.057692307692307696;1.1346153846153846;0.07692307692307693;0;0;0;1;1
0;1;2;5;24;0;0.328125;1.328125;0.0625;0.625;0;2.4;0;1;15;0;0.05357142857142857;1.3392857142857142;0.07142857142857142;0;0;0;1;1
0;1;2;5;30;0;0.46875;1.34375;0;0.625;0;0;0;1;19;0;0.05357142857142857;1.4107142857142858;0.07142857142857142;0;0;0;2;1
0;1;2;5;36;0;0.35;1.2833333333333334;0;0.6;0;0;0;1;24;0;0;1.2857142857142858;0.07142857142857142;0;0;0;2;1
0;1;2;5;41;0;0.46875;1.265625;0.046875;0.625;0;2.4;0;1;28;0;0.05357142857142857;1.125;0.14285714285714285;0;0;0;2;1
0;1;2;5;0;0;0.06818181818181818;1.1590909090909092;0;0.45454545454545453;0;0;0;0;1;0;0.5;1.1666666666666667;0;0;0;0;0;0
0;1;2;5;0;0;0.06818181818181818;1.25;0;0.45454545454545453;0;0;0;0;1;0;0.32142857142857145;1.1785714285714286;0;0;0;0;0;0
0;1;2;5;0;0;0.0625;1.2291666666666667;0;0.5;0;0;0;0;2;0;0.42857142857142855;1.2857142857142858;0;0;0;0;0;0
0;1;2;5;2;0;0.0625;1.2291666666666667;0;0.5;0;0;0;1;2;0;0.09375;1.34375;0;0;0;0;0;0
0;1;2;5;2;0;0.05357142857142857;1.1964285714285714;0.07142857142857142;0.5714285714285714;0;1.3;0;1;4;0;0.28125;1.15625;0;0;0;0;0;0
0;1;2;5;2;0;0.05;1.1833333333333333;0.06666666666666667;0.6;0;0;0;1;4;0;0.3333333333333333;1.2222222222222223;0.16666666666666666;0;0;0;0;0
