Patron_1;Patron_2;Patron_3;Patron_4;CurrentPlayerPrestige;CurrentPlayerDeck_PrestigeStrength;CurrentPlayerDeck_PowerStrength;CurrentPlayerDeck_GoldStrength;CurrentPlayerDeck_MiscStrength;CurrentPlayerDeckComboProportion;CurrentPlayerAgent_PowerStrength;CurrentPlayerAgent_GoldStrength;CurrentPlayerAgent_MiscStrength;CurrentPlayerPatronFavour;OpponentPrestige;OpponentDeck_PrestigeStrength;OpponentDeck_PowerStrength;OpponentDeck_GoldStrength;OpponentDeck_MiscStrength;OpponentAgent_PowerStrength;OpponentAgent_GoldStrength;OpponentAgent_MiscStrength;OpponentPatronFavour;WinProbability
4;5;6;7;22;0;0.15822275130422606;1.4;0.5502958579881656;0.5384615384615384;0;6.76;8;2;9;1.1428571428571428;0.3451895043731778;1.8;0;0;0;0;0;1
4;5;6;7;25;0;0.15822275130422606;1.4;0.5502958579881656;0.5384615384615384;0;0;0;2;18;0;0.09645061728395059;1.6666666666666667;0;0;0;0;0;1
4;5;6;7;28;0;0.17269483024691357;1.5166666666666666;0.3385416666666667;0.5;0;0;0;2;21;1.3333333333333333;0.5483024691358024;1.7666666666666666;0;3.931111111111111;2.3200000000000003;0;0;1
4;5;6;7;28;0;0.19035585001024521;1.5636363636363635;0.43951915852742296;0.5454545454545454;0;0;0;2;21;1.1428571428571428;0.5401082882132444;1.3714285714285714;0;0;0;0;0;1
4;5;6;7;33;0;0.33936149691358025;1.524537037037037;0.16927083333333334;0.5833333333333334;0;0;0;2;22;2.25;1.671923828125;1.075;0.341796875;8.4;0;4.375;1;1
4;5;6;7;34;0.1412037037037037;0.3815586419753086;1.4060956790123458;0.16927083333333334;0.6666666666666666;0;3.38;2.640625;1;32;1.25;1.577392578125;1;0.08544921875;0;0;0;1;1
4;5;6;7;42;0.3068513119533528;0.3735683048729696;1.683579758433986;0.4067055393586005;0.7142857142857143;3.0625;3.38;3.448979591836734;1;41;1.4285714285714286;0.8928571428571429;1.2857142857142858;0.12755102040816324;0;0;0;2;1
4;5;6;7;45;0.48046875;0.5595703125;1.76357421875;0.287109375;0.75;0;3.38;2.640625;1;44;0;0.2;1.8;0;0;0;0;2;1
4;5;6;7;61;0.9680439649908408;0.7350366973575508;2.3876228732893527;0.3251577447588032;0.7647058823529411;0;3.38;1.3157439446366785;1;46;0;0.48828125;1.5;0;0;0;0;1;1
4;5;6;7;3;0;0.2125;0.9;0;0.4;0;0;0;0;1;0;0.4;1;0;0;0;0;0;0
